review_batch_id,PublisherKey,Publisher,PublisherWebSite,PublisherDescription,current_publisher_vertical,current_publisher_subvertical,current_publisher_type_group,current_publisher_group,priority_bucket,candidate_reason,signal_possible_business_entity,signal_network_or_agency,review_status,review_outcome,reviewed_cluster_label,review_reason,reviewer_name,reviewed_at
review_batch_001,192666,Carl McKenzie Personal Training,https://twitter.com/carlmckenziept,"Used to promote health and fitness, through use of twitter/instagram.",Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,202282,Matthew Spaven Fitness,https://www.instagram.com/matthewspavenfitness/,"I have my own fitness page that consists of motivational and educational posts. I am active on my social media platforms daily, trying to grow and increase my following/audience.",Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",true,true,null,null,null,null,null,null
review_batch_001,222221,Kyle Le,https://www.instagram.com/kyleble,"My Instagram feed is my primary way of marketing myself and my beliefs about fitness to a worldwide audience. By utilizing social media, I am able to put myself out there to share my goals and inspire others at the same time.",Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,350274,canon,http://www.instagram.com/ishh,"My name is isha i am 20 year old and a travel/lifestyle blogger based in Amsterdam.
I'm basically always traveling and creating content of my adventures, I really think i could promote your products in a natural way and increase sales.",Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",true,false,null,null,null,null,null,null
review_batch_001,356057,MeanderingMargie(Instagram),http://www.instagram.com/meanderingmargie,I have an active instagram account of over 7K followers and I regularly wear clothes from Very. I get regularly asked by my followers how to purchase the clothes that I wear,Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,369807,giuseppeluvrano,https://www.instagram.com/giuseppeluvrano/?hl=it,"il mio profilo instagram è seguito per la maggior parte da utenti attenti al fitness, in generale al mondo del wellness. il mio obiettivo è far crescere il profilo con un brand solido che può aiutarmi in questo percorso. un saluto.",Content,Communities & User-Generated Content,Communities & UGC,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,1215307,123,https://www.youtube.com/channel/UCCbWTRg7sAJ_Bt6iL7q7rIQ/,youtube,Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,3406364,Juan M Avalos,https://www.instagram.com/shreddedmilitary/,Social Media Influencer,Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,3426621,Mona Mode ,https://www.instagram.com/themonamode/,"I'm a social media influencer and Youtuber. I am looking to collab. My engagement rate is almost 3% and I have 9k+subscribers on Youtube and 6.9k on Instagram.

Links:

Instagram - @monamode

Youtube - Monamode",Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
review_batch_001,3447445,Red Media Group,https://www.twitch.tv/red_munchkin_gaming,"Twitch Affiliate Streamer with over 1090 followers

Variety streamer playing mostly (but not limited to) space related games with an engineering or survival theme.",Content,Content Creators & Influencers,Social Content,undefined,p1_current_cluster_strong,"current_cluster,social_domain,description_keyword",false,false,null,null,null,null,null,null
